IMEI,PROMOCODE
`082343u`,109484
`0023940302380`,9439594385
`0023940302382`,18879079286
23fsd3023804sdf,28318564187
`00239343202380`,37758049088
23934325w3280,47197533989
`0023940343380`,56637018890
`002393402380`,66076503791
`0023934342380`,75515988692
`002394324380`,84955473593
`00239324322380`,94394958494
`002353352380`,94394958494
`002w3rw02380`,94394958494
`0023wrwr02380`,94394958494
`0025324323302380`,94394958494
`002344324322380`,94394958494
`002323432380`,94394958494
`0023923432380`,94394958494
